"Plot Title: 10859610"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859610, SEN S/N: 10868969)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879376)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879378)"
297,04/23/17 06:00:01 PM,95.184,0.2925,0.2139
298,04/23/17 07:00:01 PM,73.472,0.2919,0.2169
299,04/23/17 08:00:01 PM,61.934,-0.4737,0.2169
300,04/23/17 09:00:01 PM,58.023,0.2874,0.2156
301,04/23/17 10:00:01 PM,54.037,0.2853,0.2143
302,04/23/17 11:00:01 PM,51.764,0.2837,0.2131
303,04/24/17 12:00:01 AM,50.047,0.2824,0.2117
304,04/24/17 01:00:01 AM,46.031,0.2813,0.2112
305,04/24/17 02:00:01 AM,45.172,0.2803,0.2104
306,04/24/17 03:00:01 AM,42.939,0.2796,0.2095
307,04/24/17 04:00:01 AM,44.537,0.2783,0.2087
308,04/24/17 05:00:01 AM,44.492,0.2776,0.2083
309,04/24/17 06:00:01 AM,44.674,0.2773,0.2078
310,04/24/17 07:00:01 AM,47.109,0.2763,0.2070
311,04/24/17 08:00:01 AM,55.429,0.2756,0.2061
312,04/24/17 09:00:01 AM,67.413,0.2743,0.2052
313,04/24/17 10:00:01 AM,84.677,0.2736,0.2043
314,04/24/17 11:00:01 AM,93.564,0.2753,0.2029
315,04/24/17 12:00:01 PM,95.760,0.2780,0.2029
316,04/24/17 01:00:01 PM,96.289,0.2810,0.2038
317,04/24/17 02:00:01 PM,100.009,0.2834,0.2047
318,04/24/17 03:00:01 PM,100.956,0.2853,0.2052
319,04/24/17 04:00:01 PM,94.086,0.2868,0.2078
320,04/24/17 05:00:01 PM,94.705,0.2857,0.2073
321,04/24/17 06:00:01 PM,73.904,0.2861,0.2100
322,04/24/17 07:00:01 PM,67.413,0.2844,0.2100
323,04/24/17 08:00:01 PM,63.648,0.2821,0.2092
324,04/24/17 09:00:01 PM,58.928,0.2803,0.2083
325,04/24/17 10:00:01 PM,56.901,0.2790,0.2070
326,04/24/17 11:00:01 PM,54.126,0.2776,0.2061
327,04/25/17 12:00:01 AM,52.291,0.2770,0.2056
328,04/25/17 01:00:01 AM,52.903,0.2759,0.2043
329,04/25/17 02:00:01 AM,51.809,0.2749,0.2038
330,04/25/17 03:00:01 AM,51.148,0.2746,0.2035
331,04/25/17 04:00:01 AM,47.334,0.2739,0.2029
332,04/25/17 05:00:01 AM,45.669,0.2732,0.2026
333,04/25/17 06:00:01 AM,44.809,0.2726,0.2020
334,04/25/17 07:00:01 AM,46.841,0.2715,0.2017
335,04/25/17 08:00:01 AM,52.903,0.2705,0.2008
336,04/25/17 09:00:01 AM,65.188,0.2684,0.1999
337,04/25/17 10:00:01 AM,82.530,0.2670,0.1985
338,04/25/17 11:00:01 AM,88.075,0.2694,0.1976
339,04/25/17 12:00:01 PM,93.564,0.2729,0.1985
340,04/25/17 01:00:01 PM,100.458,0.2756,0.1981
341,04/25/17 02:00:01 PM,99.070,0.2783,0.1990
342,04/25/17 03:00:01 PM,95.279,0.2806,0.2003
343,04/25/17 04:00:01 PM,100.407,0.2803,0.1999
344,04/25/17 05:00:01 PM,94.705,0.2817,0.2017
345,04/25/17 06:00:01 PM,83.736,0.2810,0.2026
346,04/25/17 07:00:01 PM,76.246,0.2800,0.2029
347,04/25/17 08:00:01 PM,56.165,0.2793,0.2038
348,04/25/17 09:00:01 PM,52.072,0.2773,0.2026
349,04/25/17 10:00:01 PM,49.204,0.2753,0.2017
350,04/25/17 11:00:01 PM,50.576,0.2736,0.2003
351,04/26/17 12:00:01 AM,48.094,0.2726,0.1994
352,04/26/17 01:00:01 AM,48.762,0.2715,0.1985
353,04/26/17 02:00:01 AM,48.805,0.2705,0.1981
354,04/26/17 03:00:01 AM,45.262,0.2701,0.1976
355,04/26/17 04:00:01 AM,46.616,0.2691,0.1967
356,04/26/17 05:00:01 AM,45.172,0.2687,0.1963
